OF_id,fornecedor,categoria,valor,prazo_entrega,dias_para_vencer,risk_score,prioridade,motivo_notificacao,assunto,mensagem,status_envio
1,Fornecedor_3,Medicamentos,17848.33,2023-02-21,-1194,0.2113873524550784,Baixa,prazo próximo do vencimento,Acompanhamento da OF 1 - prioridade Baixa,"Prezado fornecedor Fornecedor_3,

A Ordem de Fornecimento 1 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-02-21 00:00:00 e o escore de risco calculado é 0.21.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
2,Fornecedor_1,Equipamentos,45541.23,2023-09-02,-1001,0.4234731628758105,Média,prazo próximo do vencimento,Acompanhamento da OF 2 - prioridade Média,"Prezado fornecedor Fornecedor_1,

A Ordem de Fornecimento 2 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-09-02 00:00:00 e o escore de risco calculado é 0.42.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
3,Fornecedor_18,Tecnologia,19628.34,2023-03-27,-1160,0.3675037324673815,Baixa,prazo próximo do vencimento,Acompanhamento da OF 3 - prioridade Baixa,"Prezado fornecedor Fornecedor_18,

A Ordem de Fornecimento 3 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-03-27 00:00:00 e o escore de risco calculado é 0.37.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
4,Fornecedor_5,Insumos,34143.04,2023-10-06,-967,0.6353859405513066,Média,prazo próximo do vencimento,Acompanhamento da OF 4 - prioridade Média,"Prezado fornecedor Fornecedor_5,

A Ordem de Fornecimento 4 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-10-06 00:00:00 e o escore de risco calculado é 0.64.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
5,Fornecedor_1,Medicamentos,42949.85,2023-08-07,-1027,0.2654009326756939,Baixa,prazo próximo do vencimento,Acompanhamento da OF 5 - prioridade Baixa,"Prezado fornecedor Fornecedor_1,

A Ordem de Fornecimento 5 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-08-07 00:00:00 e o escore de risco calculado é 0.27.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
6,Fornecedor_19,Equipamentos,34779.53,2023-05-22,-1104,0.1987078605192937,Baixa,prazo próximo do vencimento,Acompanhamento da OF 6 - prioridade Baixa,"Prezado fornecedor Fornecedor_19,

A Ordem de Fornecimento 6 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-05-22 00:00:00 e o escore de risco calculado é 0.20.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
7,Fornecedor_1,Insumos,9905.22,2023-12-21,-891,0.2978363629806143,Baixa,prazo próximo do vencimento,Acompanhamento da OF 7 - prioridade Baixa,"Prezado fornecedor Fornecedor_1,

A Ordem de Fornecimento 7 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-12-21 00:00:00 e o escore de risco calculado é 0.30.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
8,Fornecedor_20,Equipamentos,37613.1,2023-06-10,-1085,0.44279094687907,Média,prazo próximo do vencimento,Acompanhamento da OF 8 - prioridade Média,"Prezado fornecedor Fornecedor_20,

A Ordem de Fornecimento 8 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-06-10 00:00:00 e o escore de risco calculado é 0.44.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
9,Fornecedor_9,Insumos,3615.62,2023-05-24,-1102,0.6371188155430708,Média,prazo próximo do vencimento,Acompanhamento da OF 9 - prioridade Média,"Prezado fornecedor Fornecedor_9,

A Ordem de Fornecimento 9 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-05-24 00:00:00 e o escore de risco calculado é 0.64.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
10,Fornecedor_8,Equipamentos,38728.83,2023-03-28,-1159,0.309748385379433,Baixa,prazo próximo do vencimento,Acompanhamento da OF 10 - prioridade Baixa,"Prezado fornecedor Fornecedor_8,

A Ordem de Fornecimento 10 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-03-28 00:00:00 e o escore de risco calculado é 0.31.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
11,Fornecedor_17,Insumos,40950.44,2023-09-02,-1001,0.2829720993718105,Baixa,prazo próximo do vencimento,Acompanhamento da OF 11 - prioridade Baixa,"Prezado fornecedor Fornecedor_17,

A Ordem de Fornecimento 11 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-09-02 00:00:00 e o escore de risco calculado é 0.28.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
12,Fornecedor_6,Insumos,6188.12,2023-10-25,-948,0.0655411004520843,Baixa,prazo próximo do vencimento,Acompanhamento da OF 12 - prioridade Baixa,"Prezado fornecedor Fornecedor_6,

A Ordem de Fornecimento 12 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-10-25 00:00:00 e o escore de risco calculado é 0.07.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
13,Fornecedor_14,Insumos,44995.0,2023-07-19,-1046,0.2067194634471911,Baixa,prazo próximo do vencimento,Acompanhamento da OF 13 - prioridade Baixa,"Prezado fornecedor Fornecedor_14,

A Ordem de Fornecimento 13 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-07-19 00:00:00 e o escore de risco calculado é 0.21.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
